customer_id,num_of_accts_in_same_bank,num_of_accts_in_different_bank,total_liabilities,payment_delays,total_authorized_limit,total_balance,credit_risk_score
128340069,2,2,654509,0,998358,779298,760
128340070,2,2,1384919,0,728537,737790,791
128340071,1,1,469010,1,830413,762764,645
128340073,3,1,131748,0,779368,392518,662
128340074,1,1,831998,0,971487,755285,692
128340075,3,2,902844,1,476827,758237,716
128340076,2,1,1934961,1,476674,647931,771
128340077,1,2,1083364,0,555211,792298,807
128340079,2,1,590314,0,402472,592291,830
128340080,2,0,0,0,638877,673540,765
128340081,3,2,1210187,0,979195,622615,667
128340083,1,1,994536,1,418880,542907,768
128340084,3,2,1927752,0,994566,651191,645
128340087,3,0,0,1,842587,555215,677
128340088,1,0,0,0,145959,586257,622
128340089,1,0,0,0,338629,454162,702
128340090,1,2,1291771,0,341352,471703,834
128340091,2,2,90861,0,541100,492248,789
128340092,2,1,1052557,1,941504,527857,654
128340093,2,2,1906928,1,165632,468036,735
128340094,1,1,833750,1,419477,663500,727
128340095,1,1,1177912,1,242503,389967,781
128340096,3,0,0,0,241851,771014,609
128340098,2,0,0,0,646156,769404,756
128340099,1,2,1132664,0,340096,461850,707
128340100,2,0,0,0,573872,794124,692
128340101,1,0,0,0,858512,614471,722
128340102,3,1,642168,0,875030,332310,622
128340103,1,1,1699626,1,229616,485133,750
128340105,1,0,0,0,502912,735632,727
128340106,1,2,162564,0,249245,519150,723
128340108,2,2,232217,0,756300,456287,731
128340109,2,2,219640,0,698953,439642,833
128340110,1,0,0,0,810253,348020,685
128340112,1,2,1959237,0,476496,749619,635
128340113,2,1,585535,0,983349,617086,619
128340114,1,2,278683,1,589393,411891,694
128340115,2,0,0,0,825343,508467,678
128340117,3,2,473222,1,946603,663197,835
128340118,1,0,0,0,241279,526321,697
128340120,1,0,0,1,892750,422837,766
128340121,2,2,1384886,1,286182,391174,788
128340123,2,0,0,1,485782,580241,608
128340125,1,2,922723,0,471749,356021,809
128340126,3,1,1769602,1,764455,662684,657
128340127,2,1,744083,1,623308,506323,764
128340128,3,2,315602,1,376028,644876,821
128340130,1,0,0,1,327762,423132,850
128340131,3,1,448603,0,679946,703969,673
128340132,1,2,1060589,1,577897,398674,821
128340133,2,2,1841882,0,222861,790694,809
128340134,2,0,0,0,255302,372404,741
128340137,3,2,1291423,0,939428,623487,638
128340139,1,2,1417660,1,986168,363741,762
128340140,1,1,548833,0,931320,510850,685
128340141,1,2,1895644,1,731140,675189,691
128340143,1,2,1860382,1,175798,786230,712
128340144,2,0,0,1,240152,374367,647
128340145,3,2,1741990,1,860743,578965,720
128340146,2,2,791448,0,231003,766249,714
128340147,2,1,1451110,1,695300,686857,728
128340148,1,1,1024056,1,330627,780906,783
128340150,1,1,1146159,0,831828,744658,715
128340151,2,2,1911333,0,913352,766281,645
128340153,3,0,0,0,877233,540161,661
128340156,3,1,665270,1,201550,744285,735
128340157,2,2,1820281,0,229907,687005,847
128340158,1,0,0,1,557907,345368,811
128340159,1,2,713930,0,405836,340440,783
128340160,1,0,0,0,645100,619033,697
128340161,1,1,1190924,1,763572,776706,789
128340162,1,0,0,0,945076,711467,804
128340163,2,0,0,1,524259,349995,794
128340165,1,1,362168,0,445853,659772,618
128340167,2,1,1149056,0,203956,444274,670
128340168,1,2,361853,1,589570,444575,711
128340169,1,2,1695139,1,333470,328920,701
128340170,3,1,972265,0,908769,304435,764
128340171,2,2,780466,1,984958,697620,608
128340172,1,1,138343,1,869456,437988,758
128340173,1,0,0,1,310582,337103,813
128340174,1,2,1328492,1,446691,358290,618
128340175,1,0,0,1,866908,363244,748
128340176,1,2,260359,0,457454,498432,738
128340177,2,2,1245954,0,975009,699554,837
128340178,1,1,1290937,0,541068,782068,758
128340179,2,1,49034,1,766071,451801,767
128340180,3,1,199342,1,230321,645121,763
128340181,2,1,579753,1,701182,368909,815
128340183,1,0,0,0,519632,637056,765
128340184,3,0,0,1,993143,495700,800
128340185,1,1,1173576,1,659518,578491,845
128340186,1,0,0,1,913884,324166,769
128340189,2,0,0,0,516441,630650,635
128340190,1,2,304805,0,728139,355738,697
128340191,2,1,1115138,0,520904,560808,753
128340192,2,2,340662,0,396878,614638,781
128340194,1,0,0,1,575753,315859,686
128340195,1,0,0,1,830711,473084,720
128340196,3,2,1266237,0,292227,339312,616
128340197,1,2,1257845,0,459252,504640,661
128340199,2,2,1250545,0,912630,735149,630
128340202,2,1,684305,0,914123,656723,716
128340203,1,0,0,0,568642,594247,659
128340204,3,2,1530760,0,528472,707221,732
128340205,2,1,1965144,0,319473,626183,846
128340208,1,0,0,1,122540,572110,733
128340209,1,2,610565,1,594369,548553,619
128340210,1,2,1484040,0,122098,761507,637
128340211,2,2,1572163,1,220389,401340,721
128340212,1,2,1659532,0,231096,673104,826
128340213,1,2,453351,1,773539,629206,846
128340214,1,0,0,0,496719,396014,746
128340215,2,2,618513,1,457586,526807,817
128340217,1,2,1396358,1,329214,347668,735
128340218,1,1,1574683,0,878870,767485,810
128340219,2,2,649912,1,444131,328001,716
128340220,1,2,1512414,1,845398,388406,627
128340222,1,1,849401,1,509268,750324,784
128340485,1,2,1352145,1,905329,466372,620
128340224,2,1,1446831,1,351690,490648,718
128340225,2,1,69547,0,814291,429652,835
128346866,3,2,376319,1,507022,656602,662
128340227,2,1,1984377,0,546742,520211,726
128340228,1,1,1777304,1,235778,392088,717
128340229,2,1,842357,1,363002,719342,740
128340230,1,1,732119,1,929892,744871,721
128340231,1,0,0,0,650678,578831,837
128340232,2,2,675599,1,586491,300389,613
128340234,2,1,1148189,1,244740,482736,824
128340235,1,0,0,0,497401,664561,770
128340236,2,2,603666,0,254570,672532,692
128340237,1,1,1162659,1,997652,756553,806
128340238,2,1,799076,1,641411,631719,828
128340239,1,2,383993,0,710326,763329,731
128340240,1,1,773444,0,718612,542532,817
128340241,1,1,1822824,0,757984,477494,767
128340242,3,2,1362157,0,418951,370325,734
128340243,2,1,823448,0,529975,750755,692
128340244,1,1,1416797,1,185961,654207,821
128340245,1,1,802492,0,611638,315628,782
128340246,1,2,1858244,0,680865,529648,724
128340247,1,0,0,0,991858,396702,639
128340249,1,1,1763111,1,715347,466634,779
128340250,1,1,1944535,0,256685,312057,658
128340251,1,2,873705,0,705439,661868,755
128340252,1,0,0,1,465597,470545,770
128340253,1,2,1831614,1,868419,592102,743
128340254,1,0,0,1,167676,768415,847
128340257,1,1,887307,0,124344,617049,632
128340258,2,2,613427,1,734206,482380,812
128340259,2,0,0,0,126099,738404,677
128340260,1,1,660859,0,709612,557983,675
128340261,1,1,1637093,1,188107,722796,807
128340262,1,1,893622,0,738798,537472,780
128340263,1,2,46395,1,535465,682148,715
128340264,1,2,328276,1,198827,581908,695
128340265,1,0,0,1,495531,790230,630
128340266,2,0,0,1,910538,747126,658
128340270,2,0,0,0,514273,370955,779
128340271,1,1,1090460,1,453159,380706,822
128340272,1,2,959389,0,980808,475523,801
128340273,1,2,1283297,0,181019,359188,803
128340275,1,2,1007097,0,999560,416626,729
128340276,1,0,0,0,910788,750189,746
128340277,1,2,1937738,0,101821,611910,730
128340278,2,1,683488,1,939148,539903,741
128340280,1,1,1875060,1,716658,300419,616
128340283,1,0,0,0,579917,540142,752
128340284,1,0,0,0,199443,399849,666
128340285,2,1,160175,0,418567,665862,638
128340287,1,0,0,0,373780,412202,783
128340288,1,0,0,0,904255,301391,659
128340289,1,1,1830047,1,594898,322896,775
128340290,3,1,349169,1,919465,423726,718
128340292,2,2,335741,0,884323,487669,715
128340293,2,0,0,0,798836,386821,757
128340294,1,0,0,1,125316,691851,812
128340295,3,1,1069227,0,451863,582853,710
128340296,1,1,1898168,1,674186,389534,832
128340297,1,1,998619,1,861589,512543,627
128340298,1,0,0,0,192724,759806,744
128340299,2,1,778425,0,997289,700586,636
128340300,2,0,0,0,234918,606583,674
128340301,1,2,747278,0,998702,790785,727
128340302,1,0,0,0,775411,662279,744
128340305,1,2,1704921,1,999683,346512,730
128340306,1,2,1209106,1,971074,540288,661
128340307,2,0,0,1,117044,482996,724
128340308,1,2,915327,1,960174,509676,635
128340309,1,0,0,0,435100,477718,790
128340310,2,1,1207280,1,981580,474442,764
128340313,2,0,0,0,142646,765867,673
128340315,2,0,0,0,927614,321162,833
128340316,1,0,0,1,536865,630115,622
128340318,3,1,1466542,1,509893,737607,671
128340320,1,1,1030366,1,296399,782583,623
128340322,1,2,1468210,1,527141,419838,842
128340323,1,0,0,0,501424,618181,661
128340324,1,1,914178,1,713331,556857,742
128340325,1,0,0,1,769265,710173,791
128340326,1,1,1890455,1,109369,600414,608
128340327,1,2,1103292,1,685163,361442,740
128340328,2,2,1845240,1,721646,322338,600
128340329,1,0,0,0,782301,308638,713
128340331,1,1,934701,0,125525,789964,733
128340332,2,2,1304400,1,639457,779795,841
128340333,1,1,1032142,1,722342,605384,804
128340334,1,2,1308687,0,493392,440935,772
128340335,1,2,775519,1,305171,602584,806
128340336,3,0,0,1,468027,600894,844
128340337,1,1,152638,0,747739,665191,750
128340338,1,1,1522829,1,877988,710228,836
128340339,2,1,1714539,1,414642,722888,815
128340340,1,0,0,1,208308,342418,631
128340343,2,0,0,0,430299,564279,763
128340344,2,0,0,1,293832,366813,820
128340345,2,2,1461115,0,256110,654718,688
128340346,2,2,1041430,1,427548,356703,750
128340347,1,0,0,1,315135,661657,717
128340348,1,1,1278558,1,961146,567294,812
128340349,2,0,0,0,133673,398790,647
128340351,2,0,0,1,866303,639709,686
128340352,1,1,275592,0,864033,561235,624
128340353,2,0,0,0,761432,350013,642
128340354,1,1,244898,1,393236,694890,651
128340356,1,1,303372,1,778319,655251,606
128340359,1,2,1963739,1,130974,664423,633
128340360,1,2,1267164,1,841908,570176,600
128342366,2,2,1425936,1,979542,425067,833
128340362,1,1,1244927,0,874548,529901,690
128340363,1,1,1486019,0,703317,718123,829
128340364,3,1,662723,1,165343,355170,702
128340365,1,1,188195,0,713411,767487,724
128340366,1,2,761625,1,830292,518214,681
128340367,3,2,721590,1,428066,368390,799
128340368,1,2,1646561,1,831609,403043,623
128340369,3,0,0,0,762679,710555,652
128340370,3,0,0,0,510699,459625,762
128340372,2,2,1919579,1,913703,616710,805
128340374,1,2,547881,0,481978,669925,703
128340375,3,2,1987158,1,214441,486872,604
128340376,1,0,0,1,829534,561286,657
128340377,1,1,498720,1,687920,372779,789
128340379,3,2,1202003,0,417011,462475,677
128340381,1,1,1743866,1,258493,419905,603
128340383,2,0,0,1,292806,591150,659
128340384,1,1,478390,1,481636,594270,608
128340386,1,0,0,0,295048,443540,722
128340388,1,2,1953463,0,708552,691901,675
128340389,1,2,504040,0,370188,523858,788
128340390,2,1,192251,0,822373,574526,776
128340391,1,0,0,1,267429,339536,819
128340392,1,1,1650048,0,976689,648691,763
128340393,1,0,0,0,472889,760112,817
128340394,1,2,683395,1,982022,776220,835
128340395,1,2,1626107,1,691806,480035,702
128343182,2,0,0,1,642724,583273,789
128340398,1,1,150559,1,550978,593710,808
128340399,2,0,0,1,750092,301216,670
128340400,1,1,1486070,0,521047,399531,608
128340401,2,1,1918177,0,301539,374228,790
128340402,1,2,569241,0,311938,327784,829
128340404,3,2,317070,1,781089,519023,733
128340405,2,2,1932164,0,285097,476880,778
128340407,2,0,0,0,788115,636716,630
128340408,2,1,1919319,0,944605,766674,848
128349015,2,2,1014242,1,213655,677797,795
128340410,3,0,0,1,334518,417615,796
128340412,1,2,249078,0,256048,550822,820
128340413,1,2,205394,1,558598,513382,759
128340414,1,2,746579,1,456173,475723,682
128340415,2,0,0,1,358488,630932,797
128340416,3,2,598013,0,626022,374512,726
128340417,2,1,1533704,0,514675,673664,730
128340418,1,0,0,1,880001,434910,683
128340419,2,1,1142974,0,279032,769430,642
128340421,1,0,0,0,698077,778999,788
128340422,1,1,1563876,0,823961,530620,640
128340425,1,2,1189880,0,664018,615453,651
128340426,1,1,985031,0,386668,549471,620
128340427,2,1,870835,1,390145,656236,604
128340429,2,2,1223916,1,958942,798608,687
128340430,1,0,0,1,946159,796425,606
128340432,1,1,1859198,1,755751,577722,622
128340434,1,1,344947,1,281188,519222,606
128340435,3,1,996882,1,264431,636761,837
128340437,1,0,0,1,216356,388028,704
128340438,1,2,890094,0,202104,642208,737
128340439,1,1,1145748,1,458260,632497,717
128340440,1,2,1312477,1,910958,457987,674
128340441,3,2,326273,0,356005,684920,667
128340442,1,2,1274187,1,579437,434955,792
128340443,1,0,0,1,677598,588089,643
128340444,3,0,0,0,494543,629901,600
128340445,1,0,0,0,307948,309043,808
128340446,2,2,1345580,0,580229,665360,765
128340447,1,1,1734432,1,858543,628720,621
128340448,1,0,0,0,868627,612810,821
128340449,1,1,292226,0,202726,456906,618
128340450,1,0,0,0,237223,476400,620
128340455,1,1,1311183,1,397540,728934,695
128340456,3,0,0,1,767739,370172,621
128340457,2,1,1777379,1,675130,755067,755
128340458,1,0,0,0,319011,583120,618
128340459,1,0,0,1,467964,303549,661
128340461,1,0,0,0,961014,376787,736
128340462,1,0,0,1,749307,481674,702
128340463,2,1,337700,1,533836,626724,670
128340464,1,2,1572924,0,222724,719985,724
128340466,1,0,0,0,143726,537626,664
128340467,1,1,1375643,0,419726,698672,606
128340468,1,1,1307203,1,673429,714683,818
128340469,1,2,895890,0,577103,645917,754
128340471,1,1,1870297,0,228930,309320,659
128340474,1,1,1514114,0,302371,794213,620
128340475,2,0,0,1,338045,609918,687
128340476,1,1,1331331,0,155143,574114,681
128340477,2,2,334191,0,721516,644078,841
128340478,1,1,1444104,0,406147,663096,630
128340479,1,1,1705717,1,858153,765989,742
128340480,1,0,0,0,601637,531422,622
128340481,1,2,1520582,1,472370,781133,757
128345329,1,2,123975,0,959297,685150,836
128340487,1,1,403331,0,326595,672941,795
128340489,1,2,891006,0,513780,459713,682
128340490,3,0,0,0,228077,403021,678
128340491,1,0,0,1,982169,672486,602
128340492,1,0,0,1,396188,350727,652
128340493,1,1,372695,1,122478,321157,720
128340494,1,0,0,1,966892,329764,636
128340496,2,1,1606640,0,687719,643825,712
128340497,1,1,896093,0,860134,380925,751
128340498,1,0,0,0,512015,442513,684
128340500,1,1,27614,1,541863,535601,679
128340501,1,1,392383,0,974082,711825,797
128340502,2,0,0,1,560185,328787,838
128340503,2,2,845654,0,883932,376386,749
128340504,1,1,52949,1,868372,763230,698
128340505,2,1,1836865,1,952058,733989,771
128340506,1,2,650204,1,714128,364107,642
128340507,1,2,695000,1,932133,540902,834
128340508,2,2,738068,1,736597,634857,672
128340509,1,2,740447,0,391820,607356,650
128340510,2,1,179279,1,314205,491828,689
128340511,1,1,933360,1,794568,497704,680
128340512,1,1,1478585,0,370256,350107,717
128342825,2,2,1250421,0,705404,610656,711
128340514,2,0,0,1,844925,717702,791
128340515,1,2,69568,0,598909,781168,802
128340516,1,2,1928765,1,952487,336066,664
128340517,2,2,279203,0,979169,429894,804
128340518,3,1,1966346,0,520793,545022,601
128340519,3,2,1726968,0,793299,363835,743
128340521,1,2,1259731,1,350297,324009,637
128340522,1,1,376110,0,759548,517851,705
128340523,1,2,155552,0,454318,660909,830
128340524,1,0,0,0,902671,415715,627
128340525,1,2,1427186,1,802696,642085,615
128340526,1,0,0,0,765015,315464,799
128340528,1,1,1090157,1,260229,331874,815
128340529,2,0,0,0,562529,410430,765
128340530,3,1,1888312,0,295527,480270,753
128340531,2,1,1028399,1,134509,790344,720
128340532,2,0,0,0,489496,351066,633
128340533,1,2,935610,0,452234,423642,754
128340535,1,2,345925,1,732601,517225,656
128340536,1,2,1744885,0,441448,639707,707
128340537,1,2,863998,0,158369,706445,763
128340539,1,1,287989,1,856795,585412,663
128340540,1,0,0,1,104592,504675,728
128340541,1,0,0,0,488878,448069,670
128340542,1,0,0,1,239853,338845,651
128340543,1,2,1124575,1,986017,347558,827
128340544,2,2,1931036,1,411724,701963,663
128340545,1,1,1717017,1,993358,718839,839
128340546,2,2,1024703,0,491977,750831,631
128340547,1,2,615715,1,245662,749201,795
128340548,1,2,1296445,0,922122,609483,637
128340549,1,0,0,0,481346,323790,730
128340550,3,0,0,0,295064,719775,754
128340551,1,1,1062455,1,731122,340538,619
128340552,1,1,114684,1,905626,763040,818
128340553,2,1,1261291,0,419423,395461,755
128340554,1,1,1794738,1,923803,330371,776
128340556,3,0,0,1,297854,408800,733
128340557,2,2,1757844,1,670892,689963,786
128340559,1,0,0,0,430199,762232,647
128340560,1,1,1148290,0,436058,729743,638
128340561,1,0,0,1,916852,405062,825
128340562,1,2,618329,0,720664,415044,614
128340563,1,0,0,1,646465,670074,798
128340565,1,0,0,1,957426,783795,649
128340566,2,1,206672,0,804320,360960,761
128340568,1,1,901718,1,837473,376718,798
128340569,1,0,0,0,299469,544672,751
128340571,1,0,0,1,101425,399555,690
128340572,1,1,1482047,0,258610,575199,803
128340573,1,2,1267746,0,608163,624663,636
128340574,1,1,1488716,1,281376,698659,705
128340575,1,0,0,0,174880,559528,809
128346239,3,1,731259,1,710582,623598,788
128340578,3,2,129593,0,908111,749620,835
128340579,1,2,1574930,0,706533,764007,646
128340581,1,2,1897686,1,874690,437175,603
128340582,3,0,0,1,500562,616454,648
128340883,3,2,971293,1,561901,302684,740
128340584,1,2,282492,1,227746,389581,644
128340586,1,1,1594355,1,584954,445524,724
128340587,1,0,0,0,814827,788249,672
128340588,1,2,1620292,1,314185,529816,658
128340589,2,2,1103512,0,295924,765708,653
128340591,1,1,416791,1,709122,324770,808
128340592,1,2,856405,0,520084,305803,633
128340593,1,2,1977740,0,744371,553208,793
128340594,3,0,0,0,648587,467901,719
128340595,1,0,0,1,382166,611440,752
128340597,2,2,95754,0,495942,346863,814
128340598,2,1,1780730,0,582385,647273,782
128340600,1,1,213696,0,306685,351595,662
128340601,1,0,0,0,284508,318128,671
128340602,2,1,639945,1,710437,666820,684
128340603,2,2,1653931,1,612516,550629,785
128340604,1,1,1220123,1,797293,304384,741
128340605,1,2,1465865,1,441886,432992,611
128340606,2,0,0,0,582747,727855,679
128340607,2,2,337789,0,322165,727988,615
128340608,1,1,1197278,1,967244,385301,816
128340609,2,0,0,0,871013,404467,819
128340610,1,0,0,0,378463,304576,607
128340611,1,1,673643,1,140208,665612,698
128340613,2,2,1278306,0,312563,663460,749
128340615,3,2,172770,1,636236,789156,679
128340617,2,1,498027,1,726579,793674,644
128340618,1,1,1107614,1,597064,542603,800
128340619,1,0,0,0,254137,651610,834
128340621,1,2,1318105,0,119448,325757,676
128340622,2,2,973638,0,799543,356132,725
128340623,2,2,1427810,1,362639,309220,771
128340624,1,0,0,1,747462,681789,789
128340625,1,0,0,0,397369,743051,842
128340626,1,0,0,1,476552,407946,683
128340627,2,1,1201342,0,302379,419885,730
128340628,2,0,0,0,846724,518558,849
128340629,1,1,1613191,0,883225,331016,748
128340630,1,1,87355,0,932530,454742,783
128340631,1,0,0,1,872239,308107,668
128340632,2,1,1294266,1,361784,737266,618
128340633,2,2,1883924,1,934240,679336,800
128340634,2,0,0,1,994767,386926,676
128340635,3,1,1489658,1,921038,421553,626
128340636,2,2,540985,1,433715,732339,841
128340637,1,2,1101362,0,718435,653733,730
128340638,2,1,690998,1,581891,600831,647
128340639,2,1,908694,0,148079,758926,618
128340640,3,1,1585543,0,959150,526764,729
128340641,1,2,1631648,0,530281,354515,786
128340642,1,0,0,1,996148,454872,828
128340643,2,0,0,0,781847,333708,735
128340644,1,0,0,0,574825,510961,814
128340645,1,2,1015626,1,555682,498022,659
128340646,2,0,0,1,288942,344475,671
128340647,1,2,1114102,0,419292,688140,636
128340648,1,1,1225235,0,587703,495088,777
128340649,1,1,705653,0,696573,746024,612
128340650,2,2,560886,1,753509,707531,745
128340651,1,0,0,1,764211,506296,769
128340652,1,0,0,0,417587,300681,849
128340653,1,2,1130345,0,545026,359213,826
128340654,3,2,1624993,1,111654,378066,686
128340655,2,0,0,1,830114,693567,632
128340657,3,2,842669,0,843702,450786,794
128340658,1,2,1536780,0,105918,567960,843
128340659,2,2,1900014,1,429341,746815,824
128340660,1,0,0,0,969171,500631,701
128340661,1,0,0,0,376904,441242,812
128340662,1,1,1236849,0,129348,678823,786
128340663,1,0,0,0,456165,461132,643
128340664,2,0,0,1,760764,478175,680
128340665,2,1,1828977,1,948280,447554,613
128340666,2,2,1708619,0,494230,628434,823
128340668,2,1,182097,1,147576,360249,844
128340669,1,2,293595,0,713200,579406,757
128340670,1,1,1895527,0,954168,419063,616
128340671,2,0,0,0,471857,614002,649
128340672,1,2,1956648,1,842811,546499,619
128340673,2,0,0,1,928958,637123,703
128340674,1,0,0,1,241676,388526,619
128340675,1,2,1834427,1,598906,732231,694
128348009,1,1,1658690,0,510825,532772,801
128340677,1,0,0,0,450085,511798,677
128340678,1,0,0,1,582951,704965,623
128340679,1,1,1182363,1,288065,376182,672
128340680,2,1,694886,1,335575,364662,761
128340681,1,0,0,1,563555,466587,845
128340682,1,2,17327,0,902498,354152,788
128340685,1,1,1279170,0,365151,789224,761
128340686,2,1,215904,0,468518,589240,635
128340688,1,0,0,0,512152,406647,781
128340691,1,0,0,0,729327,598816,682
128340692,1,2,1572305,0,286107,689911,774
128340693,2,2,227684,1,619758,521857,628
128340694,1,1,808233,1,115105,386692,656
128340695,1,2,1465585,1,776940,314196,810
128340696,3,0,0,0,930406,529022,633
128340697,2,0,0,1,168575,709251,779
128340698,1,2,492790,0,460772,793176,830
128340700,1,2,567902,0,490267,708549,842
128340701,3,0,0,0,947305,708437,747
128340703,2,2,752155,0,126863,433659,727
128340704,2,0,0,1,202232,642250,701
128340705,1,2,463648,0,919987,397674,767
128340706,1,0,0,1,194159,380432,820
128340708,2,2,503082,1,692299,488773,837
128340711,1,0,0,0,423601,435847,723
128340712,1,0,0,1,406270,790245,826
128340713,2,0,0,0,279008,322797,713
128340714,1,0,0,1,198788,448441,778
128340715,2,1,1360686,1,197886,674614,601
128340717,1,2,1140018,0,158994,568687,696
128340718,2,0,0,1,696864,795468,814
128340719,1,1,1982091,0,458758,649067,613
128340720,1,0,0,1,887410,547116,793
128340721,1,1,1772991,0,476652,760228,825
128340722,1,2,478282,0,109111,488013,649
128340723,1,2,1261288,1,150469,778721,706
128340726,3,2,1153027,0,574424,435242,743
128340727,3,1,1633986,1,716954,464266,657
128340728,2,0,0,0,639449,316724,820
128340729,1,0,0,1,304531,574138,844
128340732,1,1,639371,0,128970,321773,660
128340733,1,1,1701001,0,934725,531159,709
128340734,1,2,410052,1,267086,366414,769
128340735,1,0,0,1,703970,570806,640
128340737,2,1,1099132,1,798959,748568,612
128340738,2,2,313291,0,783837,499140,789
128340739,2,2,238370,1,482254,331955,791
128340740,2,2,207097,1,754915,710282,764
128340741,1,2,1972131,0,885125,788519,832
128340742,1,2,82153,1,259597,742684,628
128340743,2,0,0,0,325828,769684,761
128340744,1,2,163524,1,961443,499106,825
128340745,1,1,1275634,0,167707,585899,613
128340746,1,1,1928181,0,480780,525611,654
128340747,2,1,105669,1,884976,692159,707
128340748,2,0,0,1,189646,560561,612
128340749,1,0,0,0,216675,614702,810
128340750,2,2,1283710,0,357378,764694,738
128340752,2,1,1928137,0,963336,512191,725
128340753,2,1,262932,0,685148,437260,647
128340756,2,0,0,1,324313,734584,610
128340758,2,2,1253306,1,302713,581330,774
128340759,1,1,1905590,1,359622,715082,644
128340760,1,0,0,0,691273,538174,767
128340761,2,2,1553066,1,631981,311300,843
128340762,1,0,0,0,537407,430076,693
128340763,2,1,290390,1,646901,514907,617
128340765,1,1,1992581,0,810572,675427,729
128340766,2,2,641607,1,150868,641131,778
128340767,1,0,0,1,951990,779041,682
128340768,2,0,0,1,949636,361881,708
128340769,1,1,1600738,0,145628,692967,614
128340770,2,2,334728,0,651226,426271,658
128340771,1,2,1581384,1,920218,618426,736
128340772,1,1,984420,0,223079,722799,807
128340773,1,2,1013759,0,446027,616183,701
128340774,2,1,462100,1,295064,633058,634
128340776,1,0,0,0,936424,460271,601
128340778,1,1,1540922,1,865138,679453,824
128340780,1,0,0,1,875677,724791,827
128340783,3,1,195054,0,704206,427532,629
128340785,1,0,0,0,436813,558073,676
128340787,1,1,1180757,0,573941,622098,733
128340788,2,1,1707563,1,798695,351207,716
128340790,1,2,725074,1,149434,587934,724
128340791,1,1,1060367,0,423371,537077,814
128340792,1,0,0,1,652114,605258,847
128340793,1,1,1836220,1,321050,609586,695
128340794,3,1,378468,1,307489,430262,835
128348341,1,2,1964518,0,865133,700746,619
128340796,1,0,0,1,757276,777265,676
128340797,1,0,0,0,369528,624639,840
128340798,2,2,546263,1,590593,668056,713
128340799,3,0,0,0,951894,705407,657
128340800,3,2,1818418,0,703531,748914,695
128340801,1,1,160583,1,625109,505817,706
128340802,1,1,1487273,1,382075,628453,749
128340803,1,2,240715,1,131652,419421,768
128340804,1,0,0,1,822501,348983,810
128340805,1,1,1731524,1,549963,464499,658
128340806,1,0,0,0,907319,393046,754
128340808,1,1,942794,0,292391,448134,753
128340809,2,0,0,1,332022,306827,834
128340810,1,2,144449,0,954362,658297,606
128340812,1,2,1809036,0,387215,608521,753
128340813,3,2,1086866,0,875299,364914,748
128340814,1,0,0,0,926135,622989,825
128340815,2,0,0,1,459132,725460,678
128340816,1,2,15134,1,130201,562315,799
128340818,2,0,0,0,929405,678717,623
128340819,1,2,219585,0,487921,451248,628
128340820,1,2,24078,0,387455,324041,802
128348622,3,1,1036346,1,563003,498607,680
